timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718516647626,58,Registro de users,500,Internal Server Error,users 1-17,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,58,0,0
1718516647727,56,Registro de users,500,Internal Server Error,users 1-18,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516647826,60,Registro de users,500,Internal Server Error,users 1-19,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,1
1718516647926,59,Registro de users,500,Internal Server Error,users 1-20,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516648026,56,Registro de users,500,Internal Server Error,users 1-21,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516648125,60,Registro de users,500,Internal Server Error,users 1-22,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,1
1718516648226,59,Registro de users,500,Internal Server Error,users 1-23,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,58,0,0
1718516648326,56,Registro de users,500,Internal Server Error,users 1-24,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516648425,59,Registro de users,500,Internal Server Error,users 1-25,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,1
1718516648525,60,Registro de users,500,Internal Server Error,users 1-26,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,1
1718516648625,56,Registro de users,500,Internal Server Error,users 1-27,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516648726,59,Registro de users,500,Internal Server Error,users 1-28,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516648827,58,Registro de users,500,Internal Server Error,users 1-29,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,58,0,0
1718516648926,58,Registro de users,500,Internal Server Error,users 1-30,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,58,0,1
1718516649025,60,Registro de users,500,Internal Server Error,users 1-31,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,0
1718516649126,60,Registro de users,500,Internal Server Error,users 1-32,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,0
1718516649225,57,Registro de users,500,Internal Server Error,users 1-33,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,57,0,1
1718516649326,59,Registro de users,500,Internal Server Error,users 1-34,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,1
1718516649426,60,Registro de users,500,Internal Server Error,users 1-35,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,1
1718516649527,55,Registro de users,500,Internal Server Error,users 1-36,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,55,0,0
1718516649626,61,Registro de users,500,Internal Server Error,users 1-37,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,61,0,0
1718516649726,59,Registro de users,500,Internal Server Error,users 1-38,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516649825,57,Registro de users,500,Internal Server Error,users 1-39,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,57,0,1
1718516649925,65,Registro de users,500,Internal Server Error,users 1-40,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,65,0,1
1718516650025,59,Registro de users,500,Internal Server Error,users 1-41,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,1
1718516650126,56,Registro de users,500,Internal Server Error,users 1-42,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,1
1718516650226,58,Registro de users,500,Internal Server Error,users 1-43,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,58,0,0
1718516650325,60,Registro de users,500,Internal Server Error,users 1-44,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,0
1718516650426,57,Registro de users,500,Internal Server Error,users 1-45,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516650525,59,Registro de users,500,Internal Server Error,users 1-46,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516650625,59,Registro de users,500,Internal Server Error,users 1-47,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,1
1718516650725,56,Registro de users,500,Internal Server Error,users 1-48,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516650826,59,Registro de users,500,Internal Server Error,users 1-49,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,1
1718516650926,60,Registro de users,500,Internal Server Error,users 1-50,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,1
1718516651025,57,Registro de users,500,Internal Server Error,users 1-51,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,57,0,1
1718516651125,60,Registro de users,500,Internal Server Error,users 1-52,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,1
1718516651224,59,Registro de users,500,Internal Server Error,users 1-53,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,1
1718516651325,57,Registro de users,500,Internal Server Error,users 1-54,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,57,0,0
1718516651425,59,Registro de users,500,Internal Server Error,users 1-55,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516651525,60,Registro de users,500,Internal Server Error,users 1-56,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,1
1718516651626,56,Registro de users,500,Internal Server Error,users 1-57,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,1
1718516651726,60,Registro de users,500,Internal Server Error,users 1-58,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,1
1718516651824,60,Registro de users,500,Internal Server Error,users 1-59,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,1
1718516651925,56,Registro de users,500,Internal Server Error,users 1-60,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516652025,59,Registro de users,500,Internal Server Error,users 1-61,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516652125,60,Registro de users,500,Internal Server Error,users 1-62,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516652225,57,Registro de users,500,Internal Server Error,users 1-63,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,57,0,1
1718516652326,59,Registro de users,500,Internal Server Error,users 1-64,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516652426,59,Registro de users,500,Internal Server Error,users 1-65,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516652526,56,Registro de users,500,Internal Server Error,users 1-66,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,1
1718516652626,59,Registro de users,500,Internal Server Error,users 1-67,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,1
1718516652726,59,Registro de users,500,Internal Server Error,users 1-68,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516652825,57,Registro de users,500,Internal Server Error,users 1-69,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,57,0,1
1718516652926,59,Registro de users,500,Internal Server Error,users 1-70,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516653026,58,Registro de users,500,Internal Server Error,users 1-71,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,58,0,0
1718516653125,56,Registro de users,500,Internal Server Error,users 1-72,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516653225,59,Registro de users,500,Internal Server Error,users 1-73,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516653326,59,Registro de users,500,Internal Server Error,users 1-74,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516653427,56,Registro de users,500,Internal Server Error,users 1-75,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516653525,60,Registro de users,500,Internal Server Error,users 1-76,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,0
1718516653625,59,Registro de users,500,Internal Server Error,users 1-77,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516653726,56,Registro de users,500,Internal Server Error,users 1-78,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516653825,59,Registro de users,500,Internal Server Error,users 1-79,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516653926,59,Registro de users,500,Internal Server Error,users 1-80,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,1
1718516654027,55,Registro de users,500,Internal Server Error,users 1-81,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,55,0,0
1718516654125,60,Registro de users,500,Internal Server Error,users 1-82,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,60,0,1
